homology_group,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
829892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829893,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829896,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1
829897,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1
829898,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
829899,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
829900,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
829901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
829902,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
829903,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
829904,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
829905,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
829906,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829907,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829908,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
829909,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
829910,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
829911,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
829912,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
829913,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
829914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829915,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829916,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829917,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829918,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
829919,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
829920,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
829921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829922,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
829923,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829924,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829925,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829926,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0
829927,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0
829928,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0
829929,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
829930,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
829931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829935,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829936,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829937,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829938,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829940,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
829941,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
829942,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
829943,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
829944,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
829945,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
829946,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
829947,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
829948,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1
829949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829950,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829951,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829953,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
829954,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829955,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
829956,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
829957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829958,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1
829959,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
829960,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829962,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1
829963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
829965,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1
829966,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1
