homology_group,1,2,3,4
217220,1,1,0,0
217221,1,1,0,0
217222,1,0,0,0
217223,1,0,0,0
217224,1,0,0,0
217225,1,0,0,0
217226,1,0,0,0
217227,1,0,0,1
217228,1,1,0,0
217229,0,1,0,0
217230,1,1,1,1
217231,1,1,1,1
217232,1,0,1,0
217233,1,0,0,0
217234,1,0,0,0
217235,1,1,1,1
217236,1,1,1,1
217237,1,1,1,1
217238,1,1,1,1
217239,1,0,0,0
217240,1,0,0,0
217241,1,1,1,1
217242,1,1,1,1
217243,1,1,1,1
217244,1,1,1,1
217245,1,1,1,1
217246,1,1,1,1
217247,1,0,0,0
217248,1,0,1,0
217249,1,1,1,1
217250,1,0,0,0
217251,1,0,0,0
217252,1,1,1,1
217253,1,1,1,1
217254,1,1,1,1
217255,1,0,1,0
217256,1,0,0,1
217257,1,0,0,1
217258,0,0,0,1
217259,1,0,0,0
217260,1,0,0,0
217261,1,0,0,0
217262,1,1,1,1
217263,1,1,1,1
217264,1,0,0,0
217265,1,1,1,1
217266,1,0,0,0
217267,1,1,1,1
217268,1,1,1,1
217269,1,0,0,0
217270,1,1,1,1
217271,1,1,1,1
217272,1,1,1,1
217273,1,0,1,1
217274,0,1,0,0
217275,1,0,0,0
217276,1,0,0,0
217277,1,0,0,0
217278,1,1,1,1
217279,0,1,0,0
217280,1,0,0,0
217281,0,0,0,1
217282,1,0,0,0
217283,0,1,0,0
217284,0,0,0,1
217285,1,1,1,1
217286,1,1,1,1
217287,1,1,1,1
217288,0,1,1,1
217289,0,1,1,1
217290,1,0,0,0
217291,1,0,1,1
217292,1,1,1,1
217293,1,0,0,0
217294,1,0,0,0
217295,1,0,0,0
217296,1,1,1,1
217297,1,1,1,1
217298,1,0,1,1
217299,1,1,1,1
217300,0,1,1,1
217301,1,1,0,1
217302,0,0,1,1
217303,1,0,0,0
217304,0,0,0,1
217305,1,0,0,0
217306,0,1,0,0
217307,0,1,0,0
217308,0,1,0,0
217309,0,0,0,1
217310,0,0,1,0
217311,0,0,1,0
217312,1,1,1,1
217313,1,1,1,1
217314,1,1,1,1
217315,1,1,1,1
217316,1,1,1,1
217317,1,1,1,0
217318,0,1,1,1
217319,1,1,1,0
217320,1,0,0,0
217321,0,0,0,1
217322,1,1,0,0
217323,1,1,1,1
217324,1,1,1,1
217325,1,0,0,0
217326,1,0,0,0
217327,1,1,1,1
217328,1,1,1,1
217329,1,1,1,1
217330,1,1,1,1
217331,1,1,1,1
217332,1,1,1,1
217333,1,1,1,1
217334,1,1,1,1
217335,1,1,1,1
217336,1,1,1,1
217337,1,1,1,1
217338,1,1,1,1
217339,1,1,1,1
217340,1,1,1,1
217341,1,0,0,0
217342,1,1,1,1
217343,1,0,1,0
217344,1,1,1,0
217345,1,1,1,1
217346,1,1,1,1
217347,1,1,1,1
217348,1,0,0,0
217349,1,1,1,1
217350,0,1,1,0
217351,1,0,0,0
217352,0,0,0,1
217353,1,1,1,1
217354,1,1,1,1
217355,1,0,1,0
217356,1,1,0,1
217357,1,1,0,0
217358,1,0,0,0
217359,1,1,1,1
217360,1,1,1,1
217361,1,1,1,1
217362,1,1,1,1
217363,0,0,1,0
217364,0,1,0,0
217365,0,0,0,1
217366,1,1,1,1
217367,1,1,1,1
217368,1,1,1,1
217369,1,1,1,1
217370,1,1,1,1
217371,1,1,1,1
217372,1,1,1,1
217373,1,1,1,1
217374,1,0,0,0
217375,1,1,1,1
217376,1,1,1,1
217377,1,0,1,1
217378,1,1,1,1
217379,1,1,1,1
217380,1,1,1,1
217381,1,1,1,1
217382,1,1,1,1
217383,1,1,1,1
217384,1,1,1,1
217385,1,1,0,1
217386,1,0,1,0
217387,0,1,0,1
217388,1,1,1,1
217389,1,0,0,0
217390,0,0,1,0
217391,0,0,0,1
217392,0,1,0,0
217393,1,1,1,1
217394,1,0,1,0
217395,1,1,1,1
217396,1,1,1,1
217397,1,1,1,1
217398,1,1,1,1
217399,1,1,1,1
217400,1,0,1,0
217401,1,1,1,1
217402,1,1,1,1
217403,1,1,1,1
217404,1,1,1,1
217405,1,1,1,1
217406,0,0,1,0
217407,0,0,0,1
217408,1,1,1,1
217409,1,1,0,1
217410,1,1,1,1
217411,0,0,1,0
217412,1,1,1,1
217413,1,1,1,1
217414,1,1,1,1
217415,1,1,1,1
217416,1,1,0,1
217417,1,1,1,1
217418,1,0,1,0
217419,1,1,1,1
217420,1,1,1,1
217421,1,1,1,1
217422,1,1,1,1
217423,1,1,1,1
217424,1,1,1,1
217425,1,0,1,0
217426,1,1,1,1
217427,1,0,0,0
217428,1,1,1,1
217429,1,1,1,1
217430,1,1,1,1
217431,1,1,1,1
217432,1,1,1,1
217433,1,1,1,1
217434,1,1,1,1
217435,1,1,1,1
217436,0,1,1,1
217437,1,1,1,1
217438,1,1,1,1
217439,1,0,0,0
217440,1,0,0,0
217441,1,1,1,1
217442,1,1,1,1
217443,1,1,1,1
217444,1,1,1,1
217445,1,0,0,0
217446,0,0,1,0
217447,0,1,0,0
217448,0,0,0,1
217449,0,0,0,1
217450,0,0,1,0
217451,0,1,0,0
217452,1,0,0,0
217453,1,1,0,1
217454,1,1,0,1
217455,1,1,1,1
217456,1,0,0,0
217457,1,0,0,0
217458,1,0,0,0
217459,1,1,1,1
217460,1,1,1,1
217461,1,1,1,1
217462,1,1,1,1
217463,1,1,1,1
217464,1,1,1,1
217465,1,1,1,1
217466,1,0,1,0
217467,0,1,0,1
217468,1,0,0,0
217469,1,0,0,0
217470,1,0,0,0
217471,1,1,1,1
217472,1,1,1,1
217473,1,0,0,0
217474,1,0,0,0
217475,1,1,1,1
217476,1,1,1,1
217477,1,1,1,1
217478,1,1,1,1
217479,1,1,1,1
217480,1,1,1,1
217481,1,1,1,1
217482,1,1,1,1
217483,1,1,1,1
217484,1,1,1,1
217485,1,1,1,1
217486,1,0,0,0
217487,1,1,1,0
217488,1,0,1,1
217489,0,1,0,1
217490,0,1,0,0
217491,0,0,1,0
217492,1,0,0,0
217493,1,1,1,1
217494,1,1,1,1
217495,1,1,1,1
217496,1,1,1,1
217497,1,1,1,1
217498,1,1,1,1
217499,1,1,1,1
217500,1,1,1,1
217501,1,1,1,1
217502,1,1,0,0
217503,0,1,0,1
217504,0,0,1,0
217505,1,1,1,1
217506,1,1,1,1
217507,1,1,1,1
217508,1,0,0,0
217509,1,1,1,1
217510,1,1,1,1
217511,1,1,1,1
217512,1,0,1,0
217513,1,0,0,0
217514,1,0,0,0
217515,1,1,1,1
217516,1,0,0,0
217517,1,0,1,0
217518,1,1,1,1
217519,1,1,0,1
217520,1,1,1,0
217521,1,0,1,0
217522,1,0,0,1
217523,0,0,1,0
217524,1,1,0,0
217525,1,1,0,1
217526,1,0,1,0
217527,0,1,0,1
217528,1,0,0,0
217529,1,0,1,0
217530,1,0,0,0
217531,1,0,0,0
217532,1,0,0,0
217533,1,1,1,1
217534,1,0,0,0
217535,0,0,1,1
217536,0,1,0,1
217537,1,0,1,0
217538,1,0,0,1
217539,1,0,0,0
217540,0,1,0,0
217541,0,0,1,0
217542,1,0,1,0
