Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
217405,core & single copy orthologous,1,1,1,1
217408,core & single copy orthologous,1,1,1,1
217410,core & single copy orthologous,1,1,1,1
217412,core & single copy orthologous,1,1,1,1
217413,core & single copy orthologous,1,1,1,1
217414,core,2,2,1,1
217415,core & single copy orthologous,1,1,1,1
217417,core & single copy orthologous,1,1,1,1
217419,core & single copy orthologous,1,1,1,1
217420,core & single copy orthologous,1,1,1,1
217421,core & single copy orthologous,1,1,1,1
217422,core,4,11,11,11
217423,core,3,5,5,5
217424,core & single copy orthologous,1,1,1,1
217426,core & single copy orthologous,1,1,1,1
217428,core & single copy orthologous,1,1,1,1
217429,core & single copy orthologous,1,1,1,1
217430,core & single copy orthologous,1,1,1,1
217431,core & single copy orthologous,1,1,1,1
217432,core & single copy orthologous,1,1,1,1
217433,core & single copy orthologous,1,1,1,1
217434,core & single copy orthologous,1,1,1,1
217435,core & single copy orthologous,1,1,1,1
217437,core,2,2,2,2
217438,core & single copy orthologous,1,1,1,1
217441,core & single copy orthologous,1,1,1,1
217442,core & single copy orthologous,1,1,1,1
217443,core & single copy orthologous,1,1,1,1
217444,core,2,2,2,2
217455,core & single copy orthologous,1,1,1,1
217459,core & single copy orthologous,1,1,1,1
217460,core & single copy orthologous,1,1,1,1
217461,core & single copy orthologous,1,1,1,1
217462,core & single copy orthologous,1,1,1,1
217463,core & single copy orthologous,1,1,1,1
217464,core & single copy orthologous,1,1,1,1
217465,core & single copy orthologous,1,1,1,1
217471,core & single copy orthologous,1,1,1,1
217472,core & single copy orthologous,1,1,1,1
217475,core & single copy orthologous,1,1,1,1
217476,core & single copy orthologous,1,1,1,1
217477,core & single copy orthologous,1,1,1,1
217478,core & single copy orthologous,1,1,1,1
217479,core & single copy orthologous,1,1,1,1
217480,core & single copy orthologous,1,1,1,1
217481,core & single copy orthologous,1,1,1,1
217482,core & single copy orthologous,1,1,1,1
217483,core & single copy orthologous,1,1,1,1
217484,core & single copy orthologous,1,1,1,1
217485,core & single copy orthologous,1,1,1,1
217493,core,2,1,1,1
217494,core & single copy orthologous,1,1,1,1
217495,core & single copy orthologous,1,1,1,1
217496,core & single copy orthologous,1,1,1,1
217497,core & single copy orthologous,1,1,1,1
217498,core & single copy orthologous,1,1,1,1
217499,core & single copy orthologous,1,1,1,1
217500,core & single copy orthologous,1,1,1,1
217501,core & single copy orthologous,1,1,1,1
217505,core & single copy orthologous,1,1,1,1
217506,core & single copy orthologous,1,1,1,1
217507,core & single copy orthologous,1,1,1,1
217509,core & single copy orthologous,1,1,1,1
217510,core & single copy orthologous,1,1,1,1
217511,core & single copy orthologous,1,1,1,1
217515,core,2,1,1,1
217518,core & single copy orthologous,1,1,1,1
217533,core & single copy orthologous,1,1,1,1
217545,core & single copy orthologous,1,1,1,1
217547,core,2,1,1,1
217548,core & single copy orthologous,1,1,1,1
217549,core & single copy orthologous,1,1,1,1
217550,core & single copy orthologous,1,1,1,1
217551,core & single copy orthologous,1,1,1,1
217552,core & single copy orthologous,1,1,1,1
217557,core & single copy orthologous,1,1,1,1
217558,core & single copy orthologous,1,1,1,1
217559,core & single copy orthologous,1,1,1,1
217560,core & single copy orthologous,1,1,1,1
217561,core & single copy orthologous,1,1,1,1
217562,core & single copy orthologous,1,1,1,1
217564,core & single copy orthologous,1,1,1,1
217565,core & single copy orthologous,1,1,1,1
217566,core & single copy orthologous,1,1,1,1
217567,core & single copy orthologous,1,1,1,1
217569,core & single copy orthologous,1,1,1,1
217570,core & single copy orthologous,1,1,1,1
217575,core & single copy orthologous,1,1,1,1
217576,core & single copy orthologous,1,1,1,1
217577,core,2,1,1,2
217578,core & single copy orthologous,1,1,1,1
217580,core & single copy orthologous,1,1,1,1
217585,core & single copy orthologous,1,1,1,1
217586,core & single copy orthologous,1,1,1,1
217587,core & single copy orthologous,1,1,1,1
217588,core & single copy orthologous,1,1,1,1
217589,core & single copy orthologous,1,1,1,1
217590,core & single copy orthologous,1,1,1,1
217591,core & single copy orthologous,1,1,1,1
217592,core & single copy orthologous,1,1,1,1
217593,core,2,2,2,2
217594,core & single copy orthologous,1,1,1,1
217595,core & single copy orthologous,1,1,1,1
217596,core,2,2,2,2
217598,core & single copy orthologous,1,1,1,1
217599,core & single copy orthologous,1,1,1,1
217600,core & single copy orthologous,1,1,1,1
217601,core & single copy orthologous,1,1,1,1
217602,core & single copy orthologous,1,1,1,1
217603,core & single copy orthologous,1,1,1,1
217604,core & single copy orthologous,1,1,1,1
217605,core,3,3,3,3
217606,core & single copy orthologous,1,1,1,1
217607,core & single copy orthologous,1,1,1,1
217608,core & single copy orthologous,1,1,1,1
217609,core & single copy orthologous,1,1,1,1
217610,core & single copy orthologous,1,1,1,1
217612,core & single copy orthologous,1,1,1,1
217613,core & single copy orthologous,1,1,1,1
217614,core & single copy orthologous,1,1,1,1
217616,core & single copy orthologous,1,1,1,1
217617,core & single copy orthologous,1,1,1,1
217618,core & single copy orthologous,1,1,1,1
217619,core & single copy orthologous,1,1,1,1
217621,core,1,2,1,1
217622,core & single copy orthologous,1,1,1,1
217626,core & single copy orthologous,1,1,1,1
217627,core & single copy orthologous,1,1,1,1
217628,core & single copy orthologous,1,1,1,1
217629,core & single copy orthologous,1,1,1,1
217631,core & single copy orthologous,1,1,1,1
217632,core & single copy orthologous,1,1,1,1
217633,core & single copy orthologous,1,1,1,1
217638,core & single copy orthologous,1,1,1,1
217639,core & single copy orthologous,1,1,1,1
217640,core & single copy orthologous,1,1,1,1
217641,core,2,1,1,1
217642,core & single copy orthologous,1,1,1,1
217643,core & single copy orthologous,1,1,1,1
217645,core & single copy orthologous,1,1,1,1
217649,core & single copy orthologous,1,1,1,1
217650,core & single copy orthologous,1,1,1,1
217653,core,1,1,2,1
217661,core & single copy orthologous,1,1,1,1
217663,core & single copy orthologous,1,1,1,1
217665,core & single copy orthologous,1,1,1,1
217666,core & single copy orthologous,1,1,1,1
217667,core & single copy orthologous,1,1,1,1
217670,core & single copy orthologous,1,1,1,1
217671,core & single copy orthologous,1,1,1,1
217672,core & single copy orthologous,1,1,1,1
217675,core & single copy orthologous,1,1,1,1
217676,core & single copy orthologous,1,1,1,1
217677,core & single copy orthologous,1,1,1,1
217678,core & single copy orthologous,1,1,1,1
217695,core & single copy orthologous,1,1,1,1
217696,core & single copy orthologous,1,1,1,1
217697,core & single copy orthologous,1,1,1,1
217698,core & single copy orthologous,1,1,1,1
217701,core & single copy orthologous,1,1,1,1
217702,core & single copy orthologous,1,1,1,1
217703,core & single copy orthologous,1,1,1,1
217704,core & single copy orthologous,1,1,1,1
217705,core & single copy orthologous,1,1,1,1
217706,core & single copy orthologous,1,1,1,1
217707,core & single copy orthologous,1,1,1,1
217709,core,1,1,2,1
217712,core & single copy orthologous,1,1,1,1
217713,core & single copy orthologous,1,1,1,1
217714,core,5,5,5,5
217715,core & single copy orthologous,1,1,1,1
217716,core & single copy orthologous,1,1,1,1
217722,core & single copy orthologous,1,1,1,1
217723,core & single copy orthologous,1,1,1,1
217725,core & single copy orthologous,1,1,1,1
217728,core & single copy orthologous,1,1,1,1
217730,core & single copy orthologous,1,1,1,1
217733,core & single copy orthologous,1,1,1,1
217734,core & single copy orthologous,1,1,1,1
217735,core & single copy orthologous,1,1,1,1
217736,core & single copy orthologous,1,1,1,1
217750,core & single copy orthologous,1,1,1,1
217751,core & single copy orthologous,1,1,1,1
217753,core & single copy orthologous,1,1,1,1
217755,core & single copy orthologous,1,1,1,1
217757,core & single copy orthologous,1,1,1,1
217758,core,2,2,1,2
217759,core,1,1,2,1
217762,core & single copy orthologous,1,1,1,1
217763,core & single copy orthologous,1,1,1,1
217764,core & single copy orthologous,1,1,1,1
