#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
216680,accessory,3,1,,1,,,
216680,accessory,4,1,,1,,,
216681,accessory,1,1,,1,,,
216681,accessory,3,1,,1,,,
216681,accessory,4,1,,1,,,
216683,accessory,1,1,,1,,,
216683,accessory,3,1,,1,,,
216683,accessory,4,1,,1,,,
216685,accessory,1,1,,1,,,
216685,accessory,3,1,,1,,,
216685,accessory,4,1,,1,,,
216686,accessory,1,1,,1,,1,
216686,accessory,3,1,,1,,1,
216688,accessory,1,1,,1,,,
216688,accessory,3,1,,1,,,
216688,accessory,4,1,,1,,,
216689,accessory,1,1,,1,,,
216689,accessory,3,1,,1,,,
216689,accessory,4,1,,1,,,
216691,accessory,1,1,,1,,,
216691,accessory,3,1,,1,,,
216691,accessory,4,1,,1,,,
216696,accessory,2,2,1,,1,2,
216698,accessory,1,1,,1,,,
216698,accessory,3,1,,1,,,
216698,accessory,4,1,,1,,,
216700,accessory,2,1,1,,1,,
216700,accessory,4,1,1,,1,,
216702,core,1,2,,1,,,
216702,core,3,2,,1,,,
216702,core,4,2,,1,,,
216703,accessory,1,1,,1,,,
216703,accessory,3,1,,1,,,
216703,accessory,4,1,,1,,,
216706,accessory,1,1,,1,,,
216706,accessory,3,1,,1,,,
216706,accessory,4,1,,1,,,
216707,accessory,1,1,,1,,,
216707,accessory,3,1,,1,,,
216707,accessory,4,1,,1,,,
216708,accessory,1,1,,1,,,
216708,accessory,3,1,,1,,,
216708,accessory,4,1,,1,,,
216709,accessory,1,1,,,1,,
216709,accessory,2,1,,,1,,
216709,accessory,4,1,,,1,,
216710,accessory,1,1,,1,,,
216710,accessory,3,1,,1,,,
216710,accessory,4,1,,1,,,
216711,accessory,1,1,,1,,,
216711,accessory,3,1,,1,,,
216711,accessory,4,1,,1,,,
216713,accessory,1,1,,1,,,
216713,accessory,3,1,,1,,,
216713,accessory,4,1,,1,,,
216714,accessory,1,1,,1,,,
216714,accessory,3,1,,1,,,
216714,accessory,4,1,,1,,,
216715,accessory,1,2,,2,1,1,
216716,accessory,1,1,,1,,,
216716,accessory,3,1,,1,,,
216716,accessory,4,1,,1,,,
216717,accessory,1,1,,1,,,
216717,accessory,3,1,,1,,,
216717,accessory,4,1,,1,,,
216718,accessory,1,1,,1,,,
216718,accessory,3,1,,1,,,
216718,accessory,4,1,,1,,,
216719,accessory,1,1,,1,,,
216719,accessory,3,1,,1,,,
216719,accessory,4,1,,1,,,
216720,accessory,1,1,,1,,,
216720,accessory,3,1,,1,,,
216720,accessory,4,1,,1,,,
216721,accessory,1,1,,1,,,
216721,accessory,3,1,,1,,,
216721,accessory,4,1,,1,,,
216722,accessory,1,1,,1,,,
216722,accessory,3,1,,1,,,
216722,accessory,4,1,,1,,,
216723,accessory,1,1,,1,,,
216723,accessory,3,1,,1,,,
216723,accessory,4,1,,1,,,
216725,accessory,1,1,,1,,,
216725,accessory,3,1,,1,,,
216725,accessory,4,1,,1,,,
216727,accessory,1,1,,1,,,
216727,accessory,3,1,,1,,,
216727,accessory,4,1,,1,,,
216728,accessory,1,1,,1,,,
216728,accessory,3,1,,1,,,
216728,accessory,4,1,,1,,,
216729,accessory,1,1,,1,,,
216729,accessory,3,1,,1,,,
216729,accessory,4,1,,1,,,
